,dyad,year,country1,country2,libdem_1,libdem_2,regime_diff
0,CHN-TWN,2015,CHN,TWN,0.052,0.686,0.634
1,CHN-TWN,2016,CHN,TWN,0.052,0.727,0.6749999999999999
2,CHN-TWN,2017,CHN,TWN,0.052,0.737,0.6849999999999999
3,CHN-TWN,2018,CHN,TWN,0.048,0.739,0.691
4,CHN-TWN,2019,CHN,TWN,0.047,0.725,0.6779999999999999
5,CHN-TWN,2020,CHN,TWN,0.042,0.719,0.6769999999999999
6,CHN-TWN,2021,CHN,TWN,0.044,0.711,0.6669999999999999
7,CHN-TWN,2022,CHN,TWN,0.042,0.729,0.6869999999999999
8,CHN-TWN,2023,CHN,TWN,0.037,0.725,0.688
9,CHN-TWN,2024,CHN,TWN,0.037,0.707,0.6699999999999999
10,CHN-TWN,2025,CHN,TWN,0.039,0.704,0.6649999999999999
11,CHN-JPN,2015,CHN,JPN,0.052,0.74,0.688
12,CHN-JPN,2016,CHN,JPN,0.052,0.74,0.688
13,CHN-JPN,2017,CHN,JPN,0.052,0.744,0.692
14,CHN-JPN,2018,CHN,JPN,0.048,0.755,0.707
15,CHN-JPN,2019,CHN,JPN,0.047,0.753,0.706
16,CHN-JPN,2020,CHN,JPN,0.042,0.742,0.7
17,CHN-JPN,2021,CHN,JPN,0.044,0.736,0.692
18,CHN-JPN,2022,CHN,JPN,0.042,0.738,0.696
19,CHN-JPN,2023,CHN,JPN,0.037,0.745,0.708
20,CHN-JPN,2024,CHN,JPN,0.037,0.737,0.7
21,CHN-JPN,2025,CHN,JPN,0.039,0.734,0.695
22,CHN-KOR,2015,CHN,KOR,0.052,0.599,0.5469999999999999
23,CHN-KOR,2016,CHN,KOR,0.052,0.62,0.568
24,CHN-KOR,2017,CHN,KOR,0.052,0.791,0.739
25,CHN-KOR,2018,CHN,KOR,0.048,0.794,0.746
26,CHN-KOR,2019,CHN,KOR,0.047,0.777,0.73
27,CHN-KOR,2020,CHN,KOR,0.042,0.782,0.74
28,CHN-KOR,2021,CHN,KOR,0.044,0.775,0.731
29,CHN-KOR,2022,CHN,KOR,0.042,0.718,0.6759999999999999
30,CHN-KOR,2023,CHN,KOR,0.037,0.62,0.583
31,CHN-KOR,2024,CHN,KOR,0.037,0.627,0.59
32,CHN-KOR,2025,CHN,KOR,0.039,0.739,0.7
33,CHN-PRK,2015,CHN,PRK,0.052,0.014,0.038
34,CHN-PRK,2016,CHN,PRK,0.052,0.014,0.038
